Id,Predicted
114982,355726.4935925859
95653,516759.45573434466
40303,359120.6325808832
109506,224184.64791666536
100149,423698.70669138024
7610,319652.7391111271
61101,319111.2098116541
68167,483244.31323821767
65701,363036.37092754536
56039,270212.3916988005
81919,464525.40337911795
99768,441715.2826741155
124053,657632.3137083226
3942,376214.9674743046
118904,514287.9209525859
30060,376808.85062332614
185729,561825.9042434745
46357,731434.222397293
20662,390610.90002052253
102274,480783.34177683224
53369,150286.23338733404
9719,389401.93649470364
20145,299476.16559358826
159051,585066.4560197981
31481,292110.82119191776
142247,387052.3066011971
29119,341909.5234559166
151448,437448.3815703276
60594,275574.5828089647
83400,506446.3946982434
40168,296002.3476490699
52407,397590.8982189747
127232,508861.91536461486
131188,404943.5399789431
952,213744.05502726347
166230,470564.73632620275
144844,417031.40991180396
33207,297739.870374688
28355,701960.237179559
179918,668910.5058589171
162451,733819.0808271926
19390,279184.7485882996
114861,448291.31218124344
132259,371310.08613802644
180033,698221.9209851953
97052,501100.9023803036
94224,427833.481179093
32295,514973.1672283762
171908,728825.0645022062
80236,502497.22864845523
156193,454292.29989140894
54494,352411.5931726316
174530,645998.2686415338
143835,345577.0470628702
26275,371968.21581349784
61627,685066.3206628179
49813,319562.0964967044
3466,536510.3557316496
117691,511646.5616586123
132738,551343.6330302949
114211,553602.4650990869
116741,518017.9381997455
39246,399606.43844656856
150011,352284.2697238687
182319,560459.6117918966
32441,329302.6703121819
18842,376015.6571153034
99428,422165.9845581811
96435,426527.9506084303
134803,370471.1705328608
171636,571001.3794189134
115944,527132.3709660167
149001,525293.6654736941
19084,389043.83289276215
178128,655887.7447106394
74818,379294.58378866373
49603,237128.32670567557
86262,670916.6783364892
14520,302358.78757565725
57209,813473.1930903983
148575,642632.542335501
33,182451.05476151302
180401,689843.8890152209
87114,476666.50605037983
16450,361096.87681804877
28848,362915.65775403206
11519,274096.0577608002
7202,276180.223214136
2843,294770.932112362
156073,518151.7691986064
132217,468186.79365132784
140349,528158.9339409301
34614,325797.80126041605
135594,428184.47163564933
170933,709374.0976064528
62586,416970.38664863294
145868,396011.2286884195
15155,119570.71835351142
61290,301752.43315838557
184569,582551.523874094
169996,422043.006114817
7026,393378.79754250374
128356,399504.97215879214
134501,490327.3735962353
163406,598827.780838451
56796,414410.6350688274
174870,684713.8087553226
142554,530036.179426096
59547,277049.5981317689
143113,440135.7033385714
154091,468542.7714170512
61191,557884.5485607835
135899,430154.153984273
172405,586243.7126550148
184121,594797.6510568267
1063,426179.43384516245
6348,337387.26001395844
79995,569317.8023073513
50573,374647.77470307774
79894,461151.8301474802
113553,392534.86390456813
31931,346790.16348159197
86645,376385.5737190661
123780,358868.5676215711
142940,509158.66288137133
138987,548097.4927180788
41502,253456.52905115398
100104,520844.48559383134
83570,467201.28383458324
181648,659322.2468290948
68406,450689.26661282877
114567,339141.0028248684
5470,434672.5107959568
176926,764794.8516371665
173013,449613.4360403781
110219,405692.0431733219
52178,217863.3350659535
120569,499310.69495054753
132710,483480.66611999646
10478,418907.40800096403
100309,777065.6285775952
76446,355434.8796556572
140674,434348.1441260448
122786,509296.91416922875
66214,412489.7052922729
120240,315861.4176825818
