Id,Predicted
114982,369497.21875
95653,455771.40625
40303,354089.8125
109506,305707.21875
100149,404738.21875
7610,310478.1875
61101,353539.0625
68167,477489.15625
65701,324645.90625
56039,310443.4375
81919,473932.875
99768,411563.90625
124053,720755.5625
3942,348254.84375
118904,444656.28125
30060,386665.34375
185729,512598.0625
46357,801537.375
20662,386724.09375
102274,481140.3125
53369,270158.0
9719,324365.625
20145,333924.84375
159051,656048.0
31481,327643.03125
142247,350552.4375
29119,331826.125
151448,418124.5
60594,269664.375
83400,598846.5
40168,294669.0
52407,395813.125
127232,475828.1875
131188,453405.28125
952,215282.328125
166230,429524.78125
144844,433158.59375
33207,323480.9375
28355,771832.9375
179918,601840.0
162451,805583.125
19390,237343.890625
114861,417263.21875
132259,353397.375
180033,727086.8125
97052,507029.78125
94224,396935.125
32295,479633.21875
171908,853220.25
80236,564296.25
156193,399824.125
54494,296593.0
174530,585249.25
143835,355797.78125
26275,314903.09375
61627,603603.0
49813,342538.34375
3466,446652.6875
117691,481901.09375
132738,599368.1875
114211,565376.1875
116741,424082.59375
39246,403962.71875
150011,342695.03125
182319,511648.4375
32441,307708.53125
18842,295574.8125
99428,387151.4375
96435,407810.46875
134803,365870.75
171636,601735.6875
115944,481770.625
149001,470947.84375
19084,326523.5
178128,733283.625
74818,379472.65625
49603,339578.0
86262,630058.125
14520,260884.90625
57209,921107.375
148575,630867.8125
33,179999.9486077804
180401,672550.875
87114,396585.1875
16450,319105.5
28848,333627.5625
11519,275853.65625
7202,300299.3125
2843,227236.46875
156073,479260.03125
132217,399807.9375
140349,517288.34375
34614,325459.28125
135594,437674.84375
170933,732657.375
62586,404481.34375
145868,397456.53125
15155,212545.71875
61290,341781.84375
184569,606198.1875
169996,345026.15625
7026,378771.09375
128356,359647.71875
134501,515400.90625
163406,665955.5
56796,386306.65625
174870,691558.125
142554,504725.25
59547,286400.03125
143113,405691.53125
154091,401831.4375
61191,578307.375
135899,415029.125
172405,561029.25
184121,514987.25
1063,380807.84375
6348,346624.5
79995,548766.4375
50573,341222.71875
79894,492875.84375
113553,364084.6875
31931,327289.40625
86645,401041.84375
123780,383981.75
142940,492280.46875
138987,497444.3125
41502,263384.09375
100104,492172.4375
83570,445192.875
181648,631995.375
68406,457629.15625
114567,317563.625
5470,383497.5
176926,883056.8125
173013,413433.5625
110219,400176.3125
52178,247035.328125
120569,492824.53125
132710,501575.625
10478,400134.40625
100309,826973.0625
76446,330140.46875
140674,371794.75
122786,577612.9375
66214,457639.6875
120240,322341.09375
113802,392468.03125
169747,444215.9375
45819,385959.78125
36170,290065.40625
84049,485579.21875
104675,327268.75
66165,772098.0
92499,365042.65625
107783,493508.9375
148441,465918.71875
12344,277841.875
93256,543425.0
48139,493192.5
101908,353029.09375
134084,398881.75
